Date,ID1,ID2,ID3,ID4
1.01.2015 00:00,28.03,21.59,19.62,24
1.01.2015 01:00,28.02,20.57,18.42,22.79
1.01.2015 02:00,28.09,20.38,18.62,21.32
1.01.2015 03:00,27.41,20.02,18.01,21.56
1.01.2015 04:00,26.22,20.31,18.32,22.31
1.01.2015 05:00,27.33,21.2,19.21,22.34
1.01.2015 06:00,28.75,22.02,20.16,23.43
1.01.2015 07:00,28.78,23.06,20.89,24.68
1.01.2015 08:00,29.55,23.61,21.38,25.38
1.01.2015 09:00,28.32,23.73,23.16,24.34
1.01.2015 10:00,27.67,23.52,23.07,24.28
1.01.2015 11:00,26.79,23.47,23.75,24.15
1.01.2015 12:00,25.71,23.08,23.63,23.55
1.01.2015 13:00,24.42,22.41,22.82,23.51
1.01.2015 14:00,25.01,22.61,23.51,22.94
1.01.2015 15:00,24.55,23.67,25.13,23.85
1.01.2015 16:00,28.66,27.03,27.57,27.39
1.01.2015 17:00,29.47,29.93,32.71,30.58
1.01.2015 18:00,29.1,28.79,30.95,28.95
1.01.2015 19:00,28.64,28.36,29.96,28.51
1.01.2015 20:00,27.27,27.21,29.12,27.12
1.01.2015 21:00,26.32,24.74,25.7,24.95
1.01.2015 22:00,25.7,23.63,23.54,23.47
1.01.2015 23:00,24.6,22.55,23.42,22.81
1.02.2015 00:00,23.55,22.76,23.79,22.89
1.02.2015 01:00,23.62,21.92,22.83,21.85
1.02.2015 02:00,23.12,21.74,22.73,21.75
1.02.2015 03:00,22.92,21.85,22.98,21.64
1.02.2015 04:00,25.02,22.85,23.88,22.79
1.02.2015 05:00,28.69,25.43,26.6,24.72
1.02.2015 06:00,29.28,26.17,27.7,26.99
1.02.2015 07:00,28.86,28.39,30.16,28.77
1.02.2015 08:00,28.77,29.06,31.18,29.64
1.02.2015 09:00,28.89,29.47,31.68,30.12
1.02.2015 10:00,28.83,28.96,30.91,29.44
1.02.2015 11:00,28.69,28.36,30.03,28.56
1.02.2015 12:00,27.83,27.48,29.05,27.71
1.02.2015 13:00,26.22,26.37,29.58,26.32
1.02.2015 14:00,25.52,25.65,28.65,25.61
1.02.2015 15:00,25.95,25.81,28.31,25.81
1.02.2015 16:00,28.73,27.87,30.04,28.71
1.02.2015 17:00,28.63,29.74,32.71,30.63
1.02.2015 18:00,28.71,28.22,30.14,28.72
1.02.2015 19:00,28.85,27.52,28.65,28.08
1.02.2015 20:00,27.99,25.95,27.27,26.74
1.02.2015 21:00,24.62,23.18,23.87,23.71
1.02.2015 22:00,25.09,21.83,22.28,22.65
1.02.2015 23:00,24.79,21.19,20.53,22.84
1.03.2015 00:00,24.21,20.09,19.55,21.95
1.03.2015 01:00,22.94,19.64,19.38,21.22
1.03.2015 02:00,21.11,19.03,19.02,20.49
1.03.2015 03:00,22.17,19.33,19.03,20.38
1.03.2015 04:00,23.2,19.64,19.65,20.63
1.03.2015 05:00,25.08,20.4,19.24,21.61
1.03.2015 06:00,26.92,22.14,22.12,23.58
1.03.2015 07:00,27.33,23.32,23.88,24.58
1.03.2015 08:00,28.72,25.23,25.55,25.61
1.03.2015 09:00,28.49,25.84,27.38,25.99
